행번호,주택공급명,위치,공급규모,분양모집일자,배정내역,연락처
241,청학 우성스마트시티 뷰,부산 영도구,3,2020-05-08,65A(2) 65B(1),051-624-3800
242,부평 중앙하이츠,인천 부평구,3,2020-05-08,59A(2) 74A(1),1899-7970
243,동대구 해모로 스퀘어 이스트,대구 남구,9,2020-05-15,75C(1) 84A(2) 84B(1),053-955-8880
244,문경 모전 코아루 노블36,경북 문경시,3,2020-05-15,80A(1) 80B(1) 82(1),054-554-0336
245,E. TRINITY 공도 센트럴파크,경기 안성시,19,2020-05-15,59A(5) 59B(2) 74A(4) 74B(2) 74C(2) 84(4),031-658-7520
246,울산 지웰시티 자이 1단지,울산 동구,27,2020-05-13,59A(2) 59B(5) 84A(7) 84B(6) 84C(4) 84F(3),052-266-9600
247,울산 지웰시티 자이 2단지,울산 동구,24,2020-05-13,84A(7) 84B(6) 84D(7) 84E(3) 84F(1),052-266-9600
248,두류 센트레빌 더시티,대구 달서구,4,2020-05-14,59A(1) 74(1) 84A(1) 84B(1),1644-9070
249,여주역 금호어울림 베르티스,경기 여주시,4,2020-05-15,84A(3) 84B(1),1566-5755
250,DMC 리버시티자이,경기 고양시,4,2020-05-15,84A(1) 84B(1) 84C(1) 84D(1),062-719-3007
251,더샵 광주포레스트,광주 북구,13,2020-05-15,84A(7) 84B(4) 84C(2),1661-9744
252,군산 나운 금호어울림 센트럴,전북 군산시,6,2020-05-14,59A(4) 59B(1) 73(1),063-461-5556
253,양주신도시 옥정지구 A-17(1)블록 대성베르힐,경기 양주시,10,2020-05-15,72A(1) 72B(1) 84A(4) 84B(4),031-863-0001
254,홍도동 다우갤러리휴리움,대전 동구,3,2020-05-08,59A(1) 59C(1) 74(1),1600-0067
255,용인역북지역주택조합,경기 용인시,1,2020-05-14,59A(1),031-287-0366
256,화서역 푸르지오 브리시엘,경기 수원시,8,2020-05-21,84A(4) 84B(3) 84C(1),1800-4894
257,하남감일지구 2블록 한양수자인,경기 하남시,11,2020-05-21,84(11),1522-6999
258,수성 범물 트루엘 레전드,대구 수성구,3,2020-05-21,84A(2) 84B(1),053-761-3330
259,번영로 하늘채 센트럴파크,울산 남구,6,2020-05-22,59(3) 74(2) 84A(1),052-268-4600
260,다사역 금호어울림 센트럴,대구 달성군,8,2020-05-21,59(1) 84A(4) 84B(2) 84C(1),053-591-0999
261,이안 센트럴포레 장유 1단지,경남 김해시,3,2020-05-21,59A(2) 59C(1),055-902-0777
262,이안 센트럴포레 장유 2단지,경남 김해시,4,2020-05-21,59A(3) 84(1),055-902-0777
263,포천 모아엘가 리더스파크,경기 포천시,4,2020-05-22,59A(3) 75(1),1661-2700
264,양주신도시 옥정지구 A-17(2)블록 한신더휴,경기 양주시,7,2020-05-22,74(1) 79(1) 84A(2) 84B(2) 84C(1),1877-3447
265,대구 용산자이,대구 달서구,6,2020-05-22,84A(2) 84B(2) 84C(2),1833-5630
266,더샵 송도센터니얼(F19-1블록),인천 연수구,6,2020-05-21,75A(1) 84A(2) 84B(2) 84C(1),1833-3342
267,대전 둔곡지구 우미린,대전 유성구,12,2020-05-22,65A(1) 68A(4) 76A(1) 84A(4) 84B(1) 84C(1),042-484-0760
268,동두천송내 S1블록 공공분양주택,경기 동두천시,1,2020-05-29,59A(1),031-820-8757
269,광양 센트럴자이,전남 광양시,4,2020-05-28,74B(1) 84A(2) 84C(1),1833-7740
270,검암역 로열파크시티 푸르지오 1블록,인천 서구,18,2020-05-27,59A(5) 59B(1) 74A(2) 74B(4) 84A(4) 84B(1) 84C(1),1661-4805
271,검암역 로열파크시티 푸르지오 2블록,인천 서구,20,2020-05-27,59A(2) 59B(3) 74A(3) 74B(4) 84A(5) 84B(2) 84C(1),1661-4805
272,영통 아이파크 캐슬 3단지,경기 수원시,11,2020-05-29,59A(3) 59B(2) 75A(3) 75B(1) 84A(2),1688-3342
273,부평 SK VIEW 해모로,인천 부평구,12,2020-05-29,51(1) 59A(2) 74C(3) 84A(6),032-811-0822
274,대구 죽전역 시티프라디움,대구 달서구,1,2020-05-29,84A(1),1661-5250
275,힐스테이트 의정부역,경기 의정부시,4,2020-05-29,59(1) 84A(1) 84B(1) 84C(1),031-855-1121
276,e편한세상 무등산,광주 동구,1,2020-05-28,84A(1),062-513-3332
277,쌍용 더 플래티넘 거제아시아드,부산 연제구,2,2020-05-29,84(2),1877-4820
278,창원 성산 반도유보라 아이비파크,경남 창원시,12,2020-05-29,64A(2) 64B(1) 78(8),1800-0355
279,인천 가재울역 트루엘 에코시티,인천 서구,4,2020-05-28,49A(1) 59A(1) 59B(1) 84A(1),1668-3030
280,서광교 파크 스위첸,수원 장안구,6,2020-06-05,52(5) 84(1),1544-0996
281,광주 초월역 한라비발디,경기 광주시,16,2020-06-05,62A(1) 62B(1) 75A(3) 75B(3) 84A(5) 84B(3),1644-0038
282,대구 연경 S-1블록 LH뉴웰시티,대구 동구,1,2020-06-02,59E(1),053-986-5002
283,설화명곡역 우방 아이유쉘,대구 달성군,3,2020-06-05,59A(1) 84A(2) ,053-643-3888
284,공항동 발쿠치네하우스,서울 강서구,1,2020-06-05,38(1),02-573-7212
285,백양산 롯데캐슬 골드센트럴,부산 부산진구,28,2020-06-11,59A(11) 59B(2) 72(2) 84A(9) 84B(4),051-866-0022
286,상동1차 영무예다음,전북 정읍시,2,2020-06-12,84(2),063-533-0053
287,힐스테이트 레이크 송도 3차 ,인천 연수구,8,2020-06-11,84A(2) 84B(2) 84C(1) 84D(1) 84E(1) 84F(1),1899-1010
288,함평신도시 한국아델리움 더퍼스트,전남 함평군,4,2020-06-12,74A(2) 84A(2) ,061-323-2626
289,래미안 엘리니티(용두6구역),서울 동대문구,4,2020-06-11,51A(1) 59A(1) 59B(1) 74B(1),02-959-0477
290,인천 부평 우미린 아파트,인천 부평구,3,2020-06-11,59B(2) 84(1),032-546-0500
291,청주 동남 파라곤,충북 청주시,10,2020-06-11,77A(2) 77B(1) 84(7),1600-0998
292,양산사송더샵데시앙 5블록,경남 양산시,4,2020-06-12,74(1) 84A(2) 84B(1),055-366-4040
293,양산사송더샵데시앙 6블록,경남 양산시,5,2020-06-12,74(1) 84A(3) 84B(1),055-366-4040
294,양산사송더샵데시앙 7블록,경남 양산시,8,2020-06-12,84A(6) 84B(2),055-366-4040
295,대구 동인동 대원칸타빌,대구 중구,10,2020-06-18,84A(6) 84B(4),053-427-0120
296,광주 무등산 명지로드힐,광주 동구,4,2020-06-19,74A(4),062-943-8959
297,광명 푸르지오 포레나,경기 광명시,2,2020-06-19,59TA(1) 59TB(1),1800-4638
298,평택 고덕국제신도시 A43블록 호반 써밋Ⅱ,경기 평택시,4,2020-06-19,84B(1) 84C(1) 84C(2),1566-0399
299,수원 센트럴 아이파크 자이,경기 수원시,38,2020-06-18,39(4) 59A(1) 59B(7) 73A(13) 73B(5) 84A(7) 84B(1),031-222-3432
300,덕계역 금강펜테리움 센트럴파크,경기 양주시,14,2020-06-18,59A(11) 59B(1) 59C(1) 59D(1),1588-0090
301,천안 푸르지오 레이크 사이드,충남 천안시,22,2020-06-18,74A(3) 74B(1) 74C(1) 84A(8) 84B(4) 84C(3) 84D(1) 84E(1),1600-2102
302,양주 옥정신도시 제일풍경채 LAKE CITY,경기 양주시,8,2020-06-19,74(1) 84A(4) 84B(3),1644-4800
303,힐스테이트 광산,광주 광산구,4,2020-06-19,84A(2) 84B(2),1577-0926
304,용인 양지 세영리첼,경기 용인시,4,2020-06-25,79(3) 75(1),1833-6111
305,구리 인창 대원 칸타빌,경기 구리시,5,2020-06-25,59A(1) 74(1) 84(3),031-556-6700
306,이안 평택 안중역,경기 평택시,3,2020-06-25,59A(1) 74A(1) 74B(1),031-686-6116
307,기흥 푸르지오 포레피스,경기 용인시,7,2020-06-26,59A(1) 59B(1) 74A(1) 74B(1) 74C(1) 84A(1) 84B(1),1577-9800
308,주안 파크자이 더 플래티넘,인천 미추홀구,18,2020-06-25,36(1) 44(2) 59A(2) 59B(1) 59C(4) 73A(4) 73B(1) 84A(1) 84B(2),1577-9800
309,계룡 한라비발디 더센트럴,충남 계룡시,26,2020-06-26,59(18) 72(6) 84(2),1800-5944
310,브라운스톤 부평,인천 부평구,6,2020-06-25,59A 59B 72A,1522-4163
311,고덕신도시 제일풍경채 2차 Edu,경기 평택시,12,2020-06-26,75A(2) 84A(6) 84B(2) 84C(2),1833-4187
312,서대구역 반도유보라 센텀,대구 서구,20,2020-07-03,46(1) 59A(5) 72B(3) 84A(11),1800-1122
313,죽전역 태왕아너스,대구 달서구,4,2020-07-03,84A(3) 84B(1),053-755-0900
314,울산 더샵 번영센트로,울산 남구,7,2020-06-29,59A(2) 75A(1) 75B(1) 84(3),052-260-4411
315,울산 태화강 유보라 팰라티움,울산 중구,2,2020-07-02,84A(1) 84B(1),052-954-0077
316,디에이치 퍼스티어 아이파크,서울 강남구,4,2020-06-30,37A(4),02-2058-2153
317,김해 푸르지오 하이엔드,경남 김해시,20,2020-07-02,59A(3) 59B(1) 59C(3) 74(5) 84(6),1899-9053
318,당진 수청2지구 RH-1블록 호반써밋 시그니처,충남 당진시,11,2020-07-03,84A(10) 84B(1),1566-1343
319,안심뉴타운 B2블록 시티프라디움,대구 동구,4,2020-07-03,84(4),1544-1152
320,동대구 동화 I-WISH,대구 동구,4,2020-07-02,84A(1) 84B(1) 84C(1) 84D(1),053-768-3428
321,인천용현 경남아너스빌,인천 미추홀구,1,2020-07-03,59(1),032-881-8990
322,대곡역 롯데캐슬 엘클라씨,경기 고양시,1,2020-07-03,84(1),1811-8999
323,엑소디움 센트럴 동인,대구 중구,7,2020-07-02,59A(1) 59C(2) 74A(2) 74B(2),053-471-9991
324,운서2차 SK VIEW Skycity,인천 중구,15,2020-07-02,70(1) 78A(2) 78B(1) 84A(8) 84B(2) 84C(1),032-751-7909
325,과천 푸르지오 벨라르테,경기 과천시,2,2020-06-30,84A(2),1800-2068
326,길음역 롯데캐슬 트윈골드,서울 성북구,5,2020-07-03,59A(1) 59B(2) 59C(1) 84(1),1811-6700
327,울산대현 시티프라디움,울산 남구,4,2020-07-10,84A(1) 84B(1) 84C(1) 84D(1),1544-2877
328,청수행정타운 금호어울림,충남 천안시,3,2020-07-09,59(1) 72(1) 84(1),041-569-3900
329,이안다대오션W,부산 사하구,2,2020-07-10,59A(1) 59B(1),051-262-0101
330,동대구 해모로 스퀘어 웨스트,대구 동구,7,2020-07-10,59(2) 76(3) 84A(2),053-955-8880
331,고림지구 3차 양우내안애 더 센트럴,용인 처인구,10,2020-07-10,64A(1) 64C(1) 64D(1) 76A(1) 76B(3) 76D(1) 84A(1) 84B(1),1661-4648
332,속초 롯데캐슬 인더스카이,강원 속초시,15,2020-07-10,59(1) 79A(4) 79B(1) 84A(6) 84B(1) 84C(2) 84D(1),1566-2570
333,노원 롯데캐슬 시그니처,서울 노원구,9,2020-07-10,59A(3) 59B(2) 84A(3) 84B(1),1811-9797
334,광안 경동리인 아파트,부산 수영구,1,2020-07-15,56(1),1661-0511
335,서산 푸르지오 더센트럴,충남 서산시,12,2020-07-16,69(4) 84A(6) 84B(2),041-662-0600
336,양평 휴먼빌 리버파크 어반,경기 양평군,16,2020-07-17,74A(4) 84A(3) 84B(3) 84C(6),031-771-1773
337,양평 휴먼빌 센트럴시티,경기 양평군,8,2020-07-16,59B(2) 74(3) 84(3),1566-0665
338,천안 신방 삼부르네상스,충남 천안시,18,2020-07-17,59A(5) 59B(6) 75(5) 84(2),1600-0377
339,부천 소사 현진에버빌,경기 부천시,2,2020-07-16,65(2),032-349-3400
340,해링턴 플레이스 동대구,대구 동구,10,2020-07-16,59A(1) 74A(2) 84A(4) 84B(2) 84C(1),053-945-1265
341,동대구 2차 비스타동원,대구 동구,4,2020-07-17,59(1) 76(2) 84(1),1899-1139
342,영종국제도시 동원로얄듀크(영종하늘도시 A31블록),인천 중구,5,2020-07-17,79A(1) 79B(1) 84(3),1588-0334
343,진접 상부르네상스 더퍼스트,경기 남양주시,11,2020-07-07,59A(8) 59B(3),1666-5788
344,오토밸리 한양립스 포레스트,울산 북구,1,2020-07-23,59B(1),052-294-1234
345,대구 태전역 광신프로그레스,대구 북구,8,2020-07-23,75(4) 84(4),053-324-8500
346,대구 죽전역 코아루 더리브,대구 달서구,4,2020-07-24,84A(2) 84B(2),053-656-9929
347,대봉교역 태왕아너스,대구 남구,2,2020-07-24,59(1) 84C(1),053-752-7400
348,달성파크 푸르지오힐스테이트,대구 중구,26,2020-07-24,39B(2) 59(2) 74(8) 84A(5) 84B(5) 84C(4),053-759-8260
349,시화지구 MTV 파라곤 공동주택 1블록 ,경기 시흥시,10,2020-07-24,59(4) 84A(3) 84B(3),1800-0407
350,대연 푸르지오 클라센트,부산 남구,4,2020-07-24,59A(1) 74A(2) 84B(1),1800-9229
351,롯데캐슬 리버파크 시그니처,서울 광진구,3,2020-07-24,59A(2) 59B(1),1811-7800
352,산성역 자이푸르지오(공공분양),경기 성남시,8,2020-07-21,59A(3) 74A(3) 74B(2),1833-5580
353,대구 더샵 디어엘로,대구 동구,18,2020-07-23,59(6) 72A(2) 72B(2) 84A(2) 84B(4) 84C(2),1661-1121
354,해링턴 플레이스 동대구,대구 동구,10,2020-07-22,59A(1) 74A(2) 84A(4) 84B(2) 84C(1),053-945-1265
355,동대구역 화성파크드림,대구 동구,9,2020-07-31,84A(5) 84B(1) 84C(3),053-353-8922
356,거제2구역 레이카운티,부산 연제구,14,2020-07-30,59A(2) 59B(1) 84A(5) 84B(6),051-557-4470
357,시흥 금강펜테리움 오션베이,경기 시흥시,15,2020-07-24,59(8) 84A(5) 84B(1) 84C(1),1600-9769
358,광양 동문굿모닝힐 맘시티,전남 광양시,6,2020-07-31,84A(5) 84B(1),061-818-8822
359,광주 무등산 명지로드힐,광주 동구,4,2020-07-31,74A(4),062-943-8959
360,내포신도시 이지더원2차,충남 예산군,16,2020-07-28,67(2) 84A(7) 84B(7),02-824-8042
361,이안다대하버뷰,부산 사하구,2,2020-07-28,59A(1) 59B(1),051-262-0101
362,연제 SK VIEW Central,부산 연제구,1,2020-07-30,53(1),051-867-8999
363,화원 신일해피트리 꿈의숲,대구 달성군,3,2020-07-31,69B(2) 84A(1),053-636-5800
364,대구 두류동 빌리뷰 파크뷰 주상복합신축공사,대구 달서구,2,2020-07-30,84A(1) 84B(1),1833-3773
365,해링턴 플레이스 감삼Ⅱ,대구 달서구,1,2020-07-31,84(1),1855-0320
366,청라힐 지웰 더 센트로,대구 중구,6,2020-07-31,72A(5) 84(1),053-431-0159
367,서대구역 서한이다음 더퍼스트,대구 서구,8,2020-07-30,62C(1) 76A(4) 76C(1) 84A(1) 84B(1),053-327-0500
368,대구 오페라 스위첸,대구 북구,16,2020-07-31,84A(10) 84B(5) 84C(1),1833-2544
369,수성 더팰리스 푸르지오 더샵,대구 수성구,22,2020-07-30,59A(5) 59B(8) 75B(4) 75C(3) 84A(1) 84B(1),053-766-8670
370,e편한세상 지제역(모산·영신지구 A-3블록),경기 평택시,35,2020-07-31,59A(10) 59B(1) 74(10) 84A(4) 84B(10),031-657-7466
371,e편한세상 비전 센터포레,경기 평택시,7,2020-07-30,74A(3) 74B(1) 84(3),1600-0878
372,강동 중흥S클래스 밀레니얼,서울 강동구,5,2020-07-28,47A(2) 47B(1) 59(2),1544-6177
373,힐데스하임 천호,서울 강동구,2,2020-07-31,84A(1) 84B(1),02-477-0406
374,용마산 모아엘가 파크포레,서울 중랑구,2,2020-07-31,83(1) 84(1),1577-1709
375,밀양 e편한세상 나노밸리,경남 밀양시,10,2020-07-24 ,66A(3) 66C(1) 84A(4) 84B(1) 84C(1),1670-1227
376,DMC 아트포레자이,서울 은평구,6,2020-08-03,59A(4) 84A(1) 84B(1),1577-4254
377,DMC 파인시티자이,서울 은평구,8,2020-08-03,59A(2) 74A(2) 74C(3) 84D(1),1577-4254
378,DMC 센트럴자이,서울 은평구,9,2020-08-03,74(1) 84A(1) 84B(3) 84C(3) 84E(1),1577-4254
379,DMC SK VIEW I PARK Foret,서울 은평구,13,2020-08-03,39(1) 49(1) 84A(1),02-309-1464
380,부산 오션라이프 에일린의 뜰,부산 영도구,9,2020-07-31,1단지 59A(1) 74A(1) 74B(1) 84A(1) 2단지 59A(1) 74B(2) 84A(2),051-747-9077
381,울산 문수로 드림파크,울산 남구,4,2020-08-20,51(2) 52(1) 55(1),052-261-7000
382,더샵 수성라크에르,대구 수성구,5,2020-08-20,59(3) 75(2),1644-9956
383,용인 보평역 서희스타힐스,경기 용인시,19,2020-08-21,52(2) 53(3) 59A(6) 59B(4) 71A(2) 71B(1) 84(1),031-332-0014
384,신목동 파라곤,서울 양천구,3,2020-08-20,59A(1) 74(1) 84A(1),02-2060-7774
385,e편한세상 김포 어반베뉴,경기 김포시,6,2020-08-21,53A(2) 53B(1) 59A(2) 59B(1),031-989-1233
386,포레나 순천,전남 순천시,4,2020-08-20,84A(2) 84B(2),061-745-0003
387,양주옥정신도시 3차 노블랜드 에듀포레,경기 양주시,16,2020-08-21,75A(2) 75B(2) 75C(2) 75D(2) 84A(2) 84B(2) 84C(2) 84D(2),1688-6800
388,천안 행정타운 센트럴 두산위브,충남 천안시,8,2020-08-20,74A(2) 74B(1) 84A(2) 84C(1) 84D(2),1599-1178
389,화성반월3지구 롯데캐슬 나노시티,경기 화성시,12,2020-08-19,59A(1) 59C(1) 84A(7) 84B(2) 84C(1),1566-1982
390,양주 회천 덕계역 대광로제비앙,경기 양주시,4,2020-08-21,84A(3) 84B(1),1522-3636
391,양평 창대리 타운하우스,경기 양평군,5,2020-08-21,84(3) 80(2),1522-3391
392,KTX강릉역 동도센트리움,강원 강릉시,4,2020-08-24,59A(2) 59B(2),033-648-1888
393,경산하양금호어울림(공공분양),경북 경산시,2,2020-08-20,59A(1) 59B(1),053-811-0626
394,충주호암 A-1블록(공공분양),충북 충주시,2,2020-08-31,59A(1) 59C(1),043-857-8894
395,힐스테이트 삼동역,경기 광주시,13,2020-08-28,63A(1) 63B(2) 75A(7) 75B(2) 84(1),1599-6321
396,금남로 중흥S-클래스 & 두산위브 더제니스,광주 북구,20,2020-08-28,59A(3) 59B(1) 63(1) 76A(5) 76B(1) 76C(1) 84A(2) 84B(2) 84C(4),062-362-9877
397,서대구센트럴자이,대구 서구,18,2020-08-27,59A(5) 59B(1) 74A(4) 74B(1) 84A(4) 84B(3),1661-5523
398,영흥공원 푸르지오 파크비엔,경기 수원시,24,'20. 9. 4.(금),77(3) 84A(10) 84B(3) 84C(5) 84D(3),1800-0290
399,대전 용산지구 호반써밋 그랜드파크,대전 유성구,22,'20. 9. 3.(목),1블록 84A(20) 84B(2) 3블록 84A(10) 84B(2) ,1566-2822
400,수성 푸르지오 리버센트,대구 수성구,9,'20. 9. 4.(금),84A(7) 84C(1) 84D(1),053-741-0014
401,평택 고덕신도시 제일풍경채 3차 센텀,경기 평택시,13,'20. 9. 4.(금),75A(2) 84A(7) 84B(2) 84C(2),1833-4187
402,의정부역 스카이자이,경기 의정부시,9,'20. 9. 4.(금),66(2) 76(2) 76B(3) 76C(1) 84(1),1833-3955
403,포레나 양평,경기 양평군,16,'20. 9. 11.(금),59A(3) 59B(2) 59B-1(1) 74A(4) 74B(2) 74C(1) 84(3),1899-0662
404,평택 동문굿모닝힐 맘시티2차,경기 평택시,15,'20. 9. 10.(목),59A(3) 59B(5) 59C(2) 74(4) 84(1),031-651-7733
405,충남내포신도시 1차(RM-9블록) 대방 엘리움 더 퍼스티지,충남 예산군,18,'20. 9. 11.(금),59B(1) 75A(3) 75B(7) 76(2) 84A(41) 84C(1),1688-8500
406,고림지구 3차 양우내안애 더 센트럴,경기 용인시,8,'20. 9. 11.(금),64A(1) 64C(1) 64D(1) 76A(1) 76B(1) 76D(1) 84A(1) 84B(1),1661-4648
407,여주역 우남퍼스트빌,경기 여주시,1,'20. 9. 11.(금),59A(1),1588-8035
408,e편한세상 남양뉴타운,경기 화성시,7,'20. 9. 11.(금),65A(2) 75A(2) 84A(2) 84B(1),031-306-0606
409,아산 칸타빌 센트럴시티,충남 아산시,5,'20. 9. 11.(금),59A(3) 59B(2),041-543-3900
410,오송역 파라곤 센트럴시티,충북 청주시,45,'20. 9. 11.(금),1회 59A(4) 59B(7) 59C(8) 59D(4)2회 59A(4) 59B(5) 59C(9) 59D(4),1566-7880
411,울산 번영로 센트리지,울산 중구,31,'20. 9. 14.(월),59A(4) 59B(2) 75A(3) 75B(1) 75C(4) 75D(1) 75E(1) 84A(1) 84B(8) 84C(1) 84D(1) 84E(1) 84F(2),1566-6650
412,양산 덕계 경동 스마트홈,경남 양산시,3,'20. 9. 18.(금),59A(2) 59B(1),055-386-1733
413,완주 푸르지오 더 퍼스트,전북 완주군,9,'20. 9. 15.(화),72A(2) 84A(5) 84B(2),1800-6616
414,천안 신방 삼부르네상스,충남 천안시,18,'20. 9. 14.(월),59A(5) 59B(6) 75A(5) 84A(2),1600-0377
415,울산 문수로대공원 에일린의 뜰,울산 남구,1,'20. 9. 18.(금),59(1) 75(1) 84(1),052-275-7008
416,갑천 1 트리풀시티 힐스테이트(공공분양),대전 유성구,11,'20. 10 . 7. (수),59A(2) 59B(1) 84A(4) 84B(2) 84C(2),042-824-9041
417,파주 운정신도시 A-5블록 제일풍경채 그랑퍼스트,경기 파주시,25,'20. 10 . 8. (목),59(10) 74A(1) 74B(3) 84B(11),1877-7720
418,당진 셴트레빌 르네블루,충남 당진시,10,'20. 10 . 12. (월),74A(2) 84A(5) 84B(3),041-355-1300
419,당진 수청2지구(RH-2블록) 호반써밋 시그니처 Ⅱ,충남 당진시,14,'20. 10 . 12. (월),84A(8) 84B(6),1566-1343
420,구미 아이파크 더샵,경북 구미시,25,'20. 10 . 13. (화),59(11) 74(2) 84A(4) 84B(3) 84C(2) 84D(3),1600-0131
421,의정부역 푸르지오 더 센트럴,경기 의정부시,4,'20. 10. 15. (목),1단지 59B(1) 2단지 59E(1) 72(1) 84A(1),031-829-8297
422,e편한세상 순천 어반타워,전남 순천시,3,'20. 10. 14. (수),84A(1) 84B(1) 84C(1),061-744-9700
423,김해삼계 삼정그린코아 더 베스트,경남 김해시,6,'20. 10. 16. (금),60(1) 73(2) 84(3),055-337-5600
424,서면 비스타 동원,부산 부산진구,1,'20. 10. 16. (금),59B(1),051-914-0200
425,여주 서해 스타 팰리스,경기 여주시,1,'20. 10. 15. (목),84(1),1661-0014
426,별내자이 더 스타,경기 남양주시,9,'20. 10. 15. (목),84A(3) 84B(3) 84C(3),1544-5088
427,하남 감일 푸르지오,경기 하남시,7,'20. 10. 15. (목),84A(3) 84B(4),1800-0517
428,영통 롯데캐슬 엘클래스,경기 수원시,8,'20. 10. 14. (수),1단지 84A(4) 84B(1) 84C(2) 84D(1) 2단지 79(1) 84A(4) 84C(2) 84D(2),1811-6868
429,대곡역 롯데캐슬 엘클라씨,경기 고양시,1,'20. 10. 16. (금),84(1),1811-8999
430,익산 이지움 더 테라스 아트리체,전북 익산시,2,'20. 10. 15. (목),84A(1) 84B(1),063-838-0005
431,익산 모현 이지움,전북 익산시,2,'20. 10. 15. (목),84A(2),063-831-5001
432,수성 센트럴 화성파크드림,대구 수성구,2,'20. 10. 16. (금),84A(2),053-763-7751
433,여주역 우남퍼스트빌,경기 여주시,1,'20. 10 . 12. (월),59A(1),1588-8035
434,반정 아이파크 캐슬,경기 화성시,56,20. 10. 23. (금),4단지 59A(4) 59C(5) 75A(1) 75C(2) 84A(10) 84B(2) / 5단지 59B(1) 75A(5) 75B(3) 75C(7) 84A(16),1688-1551
435,과천지식정보타운 공공주택지구,경기 과천시,7,'20. 10. 21. (수),S1블록 74A(1) 74B(1) 84B(1) / S4블록 84D(1) 84E(1) / S5블록 84A(1) 84B(1),1800-2068
436,평택 동문굿모닝힐 맘시티2차,경기 평택시,15,'20. 10. 22. (목),59A(3) 59B(5) 59C(2) 74(4) 84(1),031-651-7733
437,대구 두산동 호반써밋 수성,대구 수성구,3,20. 10. 23. (금),84A(1) 84B(1) 84C(1),1566-7326
438,여주역 휴먼빌,경기 여주시,6,20. 10. 23. (금),59(2) 84(4),1599-6501
439,완주 삼봉지구 B1블록 우미린 에코포레,전북 완주군,14,20. 10. 23. (금),69(3) 84.9909(10) 84.9913(1) ,063-277-0101
440,김해 주촌 일동 미라주 더 네스트,경남 김해시,2,'20. 10. 22. (목),69(1) 77A(1),055-904-5100
441,국제금융센터 퀸즈W,부산 남구,4,'20. 10. 26. (월),84A(1) 84B(1) 84C(1) 59(1),051-741-1118
442,동대구 더 센트로 데시앙,대구 동구,3,20. 10. 30. (금),59(1) 74A(1) 84A(1),053-943-9977
443,대구 두산동 호반써밋 수성,대구 수성구,3,20. 10. 30. (금),84A(1) 84B(1) 84C(1),1566-7326
444,세미존서희스타힐스,전남 광양시,1,'20. 10. 26. (월),80A(1),061-763-5716
445,김포마송지구 대방엘리움 더퍼스트 B-1블록,경기 김포시,8,20. 10. 30. (금),59B(1) 59C(1) 75C(1) 84A(1) 84B(1) 84C(3),1688-9200
446,쌍용 더 플래티넘 프리미어,경기 안성시,13,'20. 10. 29. (목),59(5) 74A(2) 74B(2) 84(4),031-658-8000
447,대청천 경동리인뷰,경남 김해시,20,20. 10. 23. (금),67(3) 84A(4) 84B(3),055-904-0700
448,남원 오투그란데,전북 남원시,6,'20. 10. 29. (목),59(1) 84A(4) 84B(1),063-636-9802
449,공주 신금 우남퍼스트빌,충남 공주시,4,'20. 11. 2. (월),59A(1) 59B(1) 59C(1) 59D(1),031-679-1662
450,전주 서신동 플러스 리버하임,전북 전주시,2,20. 11. 6. (금),59(2),062-223-1577
451,원주태장2지구 대원칸타빌,강원 원주시,23,20. 11. 5. (목),84A(6) 84B(2) 76(2),033-746-0111
452,침산동 더샵 프리미엘,대구 북구,7,20. 11. 5. (목),70A(2) 70B(2) 84A(2) 84B(1),1644-3316
453,화성시청역 서희스타힐스 4차 숲속마을,경기 화성시,14,20. 11. 6. (금),59A(1) 59B(1) 75A(1) 75A2(1) 75B(1) 75C(2) 84A(5) 84B(1) 84C(1),031-356-0698
454,성주스위트엠엘크루,경북 성주군,4,20. 11. 13. (금),77(1) 84(3),054-931-0286
455,힐스테이트 남천역 더퍼스트,부산 수영구,1,20. 11. 12. (목),70A(1),1599-7652
456,대전 하늘채 스카이앤,대전 중구,10,20. 11. 12. (목),84A(4) 84B(2) 84C(2) 84E(2),1800-1160
457,이안 그랑센텀 천안,충남 천안시,3,20. 11. 13. (금),59(3) 74B(4),1600-8042
458,해링턴 플레이스 반월당2차,대구 중구,6,20. 11. 12. (목),84A(4) 84B(1) 84C(1),053-744-8666
459,의정부 고산 수자인 디에스티지,경기 의정부시,16,20. 11. 12. (목),1블록 79A(3) 3블록 79A(9) 79B(3) 4블록 69A(1) 84(5),1668-2407
460,의정부 고산 수자인 디에스티지,경기 의정부시,16,20. 11. 12. (목),1블록 79A(3) 3블록 79A(9) 79B(3) 4블록 69A(1) 84(5),1668-2407
461,의정부 고산 수자인 디에스티지,경기 의정부시,16,20. 11. 12. (목),1블록 79A(3) 3블록 79A(9) 79B(3) 4블록 69A(1) 84(5),1668-2407
462,진천교성지구 풍림아이원 트리니티,충남 진천군,48,20. 11. 17. (화),59A(12) 74A(20) 74B(4) 84A(5) 84B(3) 36T(4),02-2008-0711
463,망우역 신원아침도시,서울 중랑구,2,20. 11. 20. (금),48C(1) 49(1),02-3456-0000
464,화성남양 시티프라디움 4차,경기 화성시,8,20. 11. 20. (금),84A(6) 84B(2),1644-7228
465,경주 뉴센트로 에일린의 뜰,경북 경주시,12,20. 11. 19. (목),84A(4) 84B(3) 84C(1) 84E(4),053-714-5500
